order_id,order_date,status,item_id,sku,qty_ordered,price,value,discount_amount,total,category,payment_method,bi_st,cust_id,year,month,Name Prefix,Gender,age,Customer Since,County,City,State,Zip,Region,Discount_Percent
100432175,04/01/2021,complete,706723,MATIDR59BA5107902DF,2,670.0,670.0,0.0,670.0,Mobiles & Tablets,cod,Net,82148,2021,Jan-21,Mr.,M,50,3/30/2013,Bristol (city),Bristol,VA,24201,South,0.0
100432177,04/01/2021,complete,706725,MATROM59D5F67AACC12,3,129.9,259.8,0.0,259.8,Mobiles & Tablets,cod,Net,82149,2021,Jan-21,Mr.,M,45,04/09/2016,Sacramento,Represa,CA,95671,West,0.0
100432178,04/01/2021,order_refunded,706726,BAGMAS59B65A5491380,2,999.9,999.9,0.0,999.9,Beauty & Grooming,cod,Valid,82150,2021,Jan-21,Hon.,F,25,2/17/2017,Hughes,Wetumka,OK,74883,South,0.0
100432183,04/01/2021,received,706733,MEFBUY59B7E808D2F6A-44,2,69.9,69.9,0.0,69.9,Men's Fashion,cod,Valid,82151,2021,Jan-21,Mr.,M,73,07/07/2004,Grafton,Bristol,NH,3222,Northeast,0.0
100432183,04/01/2021,received,706735,MEFDYN5A002978C853B,2,19.9,19.9,0.0,19.9,Men's Fashion,cod,Valid,82151,2021,Jan-21,Mr.,M,73,07/07/2004,Grafton,Bristol,NH,3222,Northeast,0.0
100432183,04/01/2021,received,706736,MEFAEY59F9A2D5A6127-44,2,19.9,19.9,0.0,19.9,Men's Fashion,cod,Valid,82151,2021,Jan-21,Mr.,M,73,07/07/2004,Grafton,Bristol,NH,3222,Northeast,0.0
100432183,04/01/2021,received,706738,MEFBUY59B7C3E863E7C-44,2,37.5,37.5,0.0,37.5,Men's Fashion,cod,Valid,82151,2021,Jan-21,Mr.,M,73,07/07/2004,Grafton,Bristol,NH,3222,Northeast,0.0
100432183,04/01/2021,received,706740,MEFTHE59F6D7950DB21-44,2,39.9,39.9,0.0,39.9,Men's Fashion,cod,Valid,82151,2021,Jan-21,Mr.,M,73,07/07/2004,Grafton,Bristol,NH,3222,Northeast,0.0
100432183,04/01/2021,received,706742,MEFRAJ59ACB3809BA74,2,108.9,108.9,0.0,108.9,Men's Fashion,cod,Valid,82151,2021,Jan-21,Mr.,M,73,07/07/2004,Grafton,Bristol,NH,3222,Northeast,0.0
100432183,04/01/2021,received,706743,MEFDES59D61FC1307E1-11,2,139.9,139.9,0.0,139.9,Men's Fashion,cod,Valid,82151,2021,Jan-21,Mr.,M,73,07/07/2004,Grafton,Bristol,NH,3222,Northeast,0.0
100432183,04/01/2021,received,706745,MEFGEN59D29B8146E8A-11,2,211.9,211.9,0.0,211.9,Men's Fashion,cod,Valid,82151,2021,Jan-21,Mr.,M,73,07/07/2004,Grafton,Bristol,NH,3222,Northeast,0.0
100432185,04/01/2021,complete,706749,BAGEMA59BAB10EF1FCC,2,40.0,40.0,0.0,40.0,Beauty & Grooming,cod,Net,82152,2021,Jan-21,Mr.,M,26,11/19/2015,Franklin,Lanark Village,FL,32323,South,0.0
100432195,04/01/2021,complete,706767,BAGNAD59E0AB9E46FDE,2,55.0,55.0,0.0,55.0,Beauty & Grooming,cod,Net,82152,2021,Jan-21,Mr.,M,26,11/19/2015,Franklin,Lanark Village,FL,32323,South,0.0
100432187,04/01/2021,order_refunded,706754,ENTCHA59BF948CB56A5,2,2669.9,2669.9,0.0,2669.9,Entertainment,Easypay,Valid,82153,2021,Jan-21,Mr.,M,31,06/07/2016,Chisago,Rush City,MN,55069,Midwest,0.0
100432657,05/01/2021,canceled,707677,SOGSND59C0C1A564ABA,3,269.9,539.8,0.0,539.8,Soghaat,Easypay,Gross,82153,2021,Jan-21,Mr.,M,31,06/07/2016,Chisago,Rush City,MN,55069,Midwest,0.0
100432686,05/01/2021,canceled,707743,COMLEN59BA9A191F928,2,2708.2,2708.2,0.0,2708.2,Computing,Easypay,Gross,82153,2021,Jan-21,Mr.,M,31,06/07/2016,Chisago,Rush City,MN,55069,Midwest,0.0
100432691,05/01/2021,canceled,707752,COMLEN5A0C249A4975E,2,2708.3,2708.3,0.0,2708.3,Computing,Easypay,Gross,82153,2021,Jan-21,Mr.,M,31,06/07/2016,Chisago,Rush City,MN,55069,Midwest,0.0
100432696,05/01/2021,canceled,707761,COMLEN59BAFE2A0211A,2,2604.1,2604.1,0.0,2604.1,Computing,Easypay,Gross,82153,2021,Jan-21,Mr.,M,31,06/07/2016,Chisago,Rush City,MN,55069,Midwest,0.0
100435305,11/01/2021,canceled,712507,HALMAJ59AC81AB461E5,3,529.9,1059.8,0.0,1059.8,Home & Living,Easypay,Gross,82153,2021,Jan-21,Mr.,M,31,06/07/2016,Chisago,Rush City,MN,55069,Midwest,0.0
100435315,11/01/2021,canceled,712521,MATSAM59B7EB59DF24E,2,2195.9,2195.9,0.0,2195.9,Mobiles & Tablets,Easypay,Gross,82153,2021,Jan-21,Mr.,M,31,06/07/2016,Chisago,Rush City,MN,55069,Midwest,0.0
100435957,13/01/2021,canceled,713655,MEFSHO59CB4D7F71D79-M,3,339.8,679.6,0.0,679.6,Men's Fashion,Easypay,Gross,82153,2021,Jan-21,Mr.,M,31,06/07/2016,Chisago,Rush City,MN,55069,Midwest,0.0
100435961,13/01/2021,canceled,713660,MEFSHO59CB4D7F71D79-M,2,339.8,339.8,0.0,339.8,Men's Fashion,Easypay,Gross,82153,2021,Jan-21,Mr.,M,31,06/07/2016,Chisago,Rush City,MN,55069,Midwest,0.0
100435970,13/01/2021,canceled,713673,MATSAM59D1F6D477224,2,2149.5,2149.5,0.0,2149.5,Mobiles & Tablets,Easypay,Gross,82153,2021,Jan-21,Mr.,M,31,06/07/2016,Chisago,Rush City,MN,55069,Midwest,0.0
100436046,13/01/2021,canceled,713805,MEFNAR59C38B87864CC,3,99.8,199.6,0.0,199.6,Men's Fashion,Easypay,Gross,82153,2021,Jan-21,Mr.,M,31,06/07/2016,Chisago,Rush City,MN,55069,Midwest,0.0
100436050,13/01/2021,order_refunded,713815,MEFNAR59C38B87864CC,3,99.8,199.6,0.0,199.6,Men's Fashion,Easypay,Valid,82153,2021,Jan-21,Mr.,M,31,06/07/2016,Chisago,Rush City,MN,55069,Midwest,0.0
100436064,13/01/2021,order_refunded,713842,MEFSHO59CB4D7F71D79-M,2,339.8,339.8,0.0,339.8,Men's Fashion,Easypay,Valid,82153,2021,Jan-21,Mr.,M,31,06/07/2016,Chisago,Rush City,MN,55069,Midwest,0.0
100436066,13/01/2021,order_refunded,713846,MEFSHO59CB4D7F71D79-XXL,2,339.8,339.8,0.0,339.8,Men's Fashion,Easypay,Valid,82153,2021,Jan-21,Mr.,M,31,06/07/2016,Chisago,Rush City,MN,55069,Midwest,0.0
100432189,04/01/2021,complete,706756,MATIDR59BA510306FBE,2,670.0,670.0,0.0,670.0,Mobiles & Tablets,cod,Net,82154,2021,Jan-21,Ms.,F,44,8/17/2008,District of Columbia,Washington,DC,20268,South,0.0
100537127,03/07/2021,received,862801,MATQMO5ACC74CAEC97E,2,999.9,999.9,0.0,999.9,Mobiles & Tablets,cod,Valid,82154,2021,Jul-21,Ms.,F,44,8/17/2008,District of Columbia,Washington,DC,20268,South,0.0
100432190,04/01/2021,canceled,706757,ENTSON59FABF9A1073F,2,3899.9,3899.9,0.0,3899.9,Entertainment,cod,Gross,82155,2021,Jan-21,Ms.,F,26,08/11/2003,Newton,Stark City,MO,64866,Midwest,0.0
